author,authorURL,title,url
Monica Chin,https://www.theverge.com/authors/monica-chin,The best gaming laptops in 2021,https://www.theverge.com/22295181/best-gaming-laptop
Monica Chin,https://www.theverge.com/authors/monica-chin,Vaio Z (2021) review: carbon tax,https://www.theverge.com/22310002/vaio-z-2021-laptop-review
Allison Johnson,https://www.theverge.com/users/Allison%20Johnson,"LG Stylo 6 review: great stylus features, sketchy performance",https://www.theverge.com/22301223/lg-stylo-6-review
Chris Welch,https://www.theverge.com/authors/chris-welch,The best noise-canceling headphones to buy right now,https://www.theverge.com/21345733/best-noise-canceling-headphones
Monica Chin,https://www.theverge.com/authors/monica-chin,Samsung Galaxy Chromebook 2 review: premium in the right ways,https://www.theverge.com/22301481/samsung-galaxy-chromebook-2-review
Vjeran Pavic,https://www.theverge.com/authors/vjeran-pavic,DJI FPV review: fast and furious,https://www.theverge.com/22308345/dji-fpv-review-first-person-drone-price
Russell Brandom,https://www.theverge.com/authors/russell-brandom,Why Congress can’t stop talking about Section 230,https://www.theverge.com/22309566/section-230-explainer-video-internet-changes-klobuchar-event
Andrew J. Hawkins,https://www.theverge.com/authors/andrew-j-hawkins,Volkswagen ID 4 review: electric chill,https://www.theverge.com/22302883/vw-id4-review-volkswagen-ev-specs-range-photos-video
Tom Warren,https://www.theverge.com/authors/tom-warren,Microsoft Surface Pro 7 Plus review: built for business,https://www.theverge.com/22309005/microsoft-surface-pro-7-plus-review
Allison Johnson,https://www.theverge.com/users/Allison%20Johnson,Motorola Moto G Power (2021) review: power over perks,https://www.theverge.com/22268805/motorola-moto-g-power-2021-review
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,The Asus TUF Dash F15 gaming laptop is efficient but not excellent,https://www.theverge.com/22276367/asus-tuf-dash-f15-2021-intel-core-i7-nvidia-rtx-3070-review-gaming-laptop-specs-price
Andrew J. Hawkins,https://www.theverge.com/authors/andrew-j-hawkins,Tern HSD P9 review: the everything e-bike,https://www.theverge.com/22274747/tern-hsd-p9-ebike-review-electric-cargo-bike-price-specs
Vjeran Pavic,https://www.theverge.com/users/vjeran,DJI Mini 2 review: tiny dancer,https://www.theverge.com/22277238/dji-mini-2-drone-review-price-specs-features
Allison Johnson,https://www.theverge.com/users/Allison%20Johnson,Motorola Moto G Stylus (2021) review: the write stuff,https://www.theverge.com/22311690/motorola-moto-g-stylus-2021-review-price-specs
Andrew Webster,https://www.theverge.com/authors/andrew-webster,Gnosia is like a single-player Among Us for the Switch,https://www.theverge.com/22323251/gnosia-review-nintendo-switch
Monica Chin,https://www.theverge.com/authors/monica-chin,Razer Blade Stealth 13 (2020) review: great gaming on the go,https://www.theverge.com/21340554/razer-blade-stealth-13-review-keyboard-specs-price-features
Monica Chin,https://www.theverge.com/authors/monica-chin,Asus ROG Strix Scar 15 review: powerful portable gaming,https://www.theverge.com/22195676/asus-rog-strix-scar-15-review-gaming-laptop-specs-features-price
Thomas Ricker,https://www.theverge.com/authors/thomas-ricker,HomeKit makes Ikea’s cheap buttons and motion sensors much more powerful,https://www.theverge.com/22310841/ikea-shortcut-button-motion-sensor-homekit-smart-home-review-test
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,Razer Blade 15 Base review: losing its edge,https://www.theverge.com/22315386/razer-blade-15-base-2021-review-gaming-laptop-nvidia-rtx-3070-qhd-screen-performance
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,"Razer’s Blade 15 Advanced review: runs fast, runs hot",https://www.theverge.com/21499199/razer-blade-15-advanced-edition-gaming-laptop-2020-review
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,Dell’s G5 15 SE is both an affordable and excellent gaming laptop,https://www.theverge.com/21328344/dell-g5-15-se-review-2020-gaming-laptop-amd-ryzen
Sam Byford,https://www.theverge.com/authors/sam-byford,Xiaomi Mi 11 review: undercutting Samsung,https://www.theverge.com/22310843/xiaomi-mi-11-review-samsung
Chris Welch,https://www.theverge.com/authors/chris-welch,Marshall’s Mode II earbuds are stuck between rock and a hard price,https://www.theverge.com/22312301/marshall-mode-ii-earbuds-review-features-price
Allison Johnson,https://www.theverge.com/users/Allison%20Johnson,"OnePlus Nord N10 5G review: tall phone, small price",https://www.theverge.com/22214280/oneplus-nord-n10-5g-review
Chris Welch,https://www.theverge.com/authors/chris-welch,Apple AirPods Max review: luxurious sound for a luxury price,https://www.theverge.com/22177494/apple-airpods-max-headphones-review-price-features
Monica Chin,https://www.theverge.com/authors/monica-chin,Samsung Galaxy Chromebook 2 hands-on: promisingly boring,https://www.theverge.com/22217002/samsung-galaxy-chromebook-2-price-release-date-hands-on-chrome-os-photos-video
Monica Chin,https://www.theverge.com/authors/monica-chin,Best laptop 2021: 15 best laptops you can buy,https://www.theverge.com/21250695/best-laptops
Jon Porter,https://www.theverge.com/authors/jon-porter,The best free password manager,https://www.theverge.com/22311182/best-free-password-manager-bitwarden-zoho-vault-roboform-sticky-password
Monica Chin,https://www.theverge.com/authors/monica-chin,"Dell XPS 13 (late-2020) review: greatness, refined",https://www.theverge.com/21546784/dell-xps-13-late-2020-review-design-specs-price-features
Allison Johnson,https://www.theverge.com/users/Allison%20Johnson,Motorola One 5G Ace review: a weak hand,https://www.theverge.com/22255202/motorola-one-5g-ace-review
